TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612739,Cleveland Cavaliers,12,5,7,0.417,576.0,449,1001,0.449,124,394,0.315,155,204,0.76,92,373,465,255,146.0,80,55,60,237,220,1177,-67.0,6,8,13,9,6,7,7,11,7,6,13,7,6,13,7,7,7,7,11,5,7,11,12,6,7,15,2023-24
1610612742,Dallas Mavericks,22,13,9,0.591,1056.0,855,1827,0.468,262,728,0.36,359,499,0.719,239,709,948,465,276.0,138,116,108,417,434,2331,57.0,1,2,15,3,1,1,1,5,2,2,7,1,1,16,1,1,1,2,16,1,1,16,16,1,1,4,2023-24
1610612743,Denver Nuggets,12,7,5,0.583,576.0,467,1022,0.457,126,379,0.332,166,200,0.83,119,391,510,299,144.0,77,51,61,216,219,1226,-25.0,6,5,11,4,6,6,6,9,6,7,11,6,7,4,6,5,6,5,10,7,8,12,10,7,6,10,2023-24
1610612754,Indiana Pacers,17,8,9,0.471,826.0,761,1502,0.507,208,559,0.372,206,276,0.746,175,528,703,508,204.0,93,82,71,348,296,1936,18.0,3,4,15,7,3,2,3,1,3,3,4,5,5,15,3,3,3,1,14,4,3,13,15,4,3,6,2023-24
1610612746,LA Clippers,6,2,4,0.333,288.0,214,493,0.434,71,190,0.374,103,130,0.792,67,185,252,121,81.0,37,19,38,137,121,602,-40.0,10,10,2,10,12,12,12,14,11,11,3,12,11,9,10,11,11,13,7,10,12,6,7,10,12,12,2023-24
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,208,423,0.492,44,147,0.299,72,94,0.766,37,166,203,122,55.0,30,20,16,83,82,532,-11.0,13,13,2,13,13,13,13,2,14,14,15,14,14,12,14,13,13,12,1,14,11,2,2,14,13,8,2023-24
1610612748,Miami Heat,5,1,4,0.2,240.0,178,406,0.438,56,170,0.329,49,60,0.817,28,153,181,106,58.0,23,7,26,84,78,461,-78.0,13,13,2,13,13,14,14,13,13,13,12,16,16,6,16,14,15,14,3,16,16,4,3,15,14,16,2023-24
1610612749,Milwaukee Bucks,6,2,4,0.333,293.0,245,518,0.473,67,189,0.354,104,127,0.819,57,199,256,133,64.0,32,19,27,112,116,661,-17.0,10,10,2,10,10,10,10,3,12,12,10,11,12,5,12,10,10,11,4,13,12,5,5,11,10,9,2023-24
1610612750,Minnesota Timberwolves,16,9,7,0.563,768.0,620,1326,0.468,187,521,0.359,293,378,0.775,170,509,679,383,195.0,116,73,81,333,320,1720,67.0,4,3,13,5,4,4,4,6,4,4,8,3,2,10,5,4,4,4,13,3,4,14,14,3,4,2,2023-24
1610612740,New Orleans Pelicans,4,0,4,0.0,192.0,134,338,0.396,35,131,0.267,55,64,0.859,49,133,182,78,72.0,35,18,21,80,64,358,-63.0,15,15,2,15,15,16,15,16,16,15,16,15,15,1,13,15,14,16,6,11,14,3,1,16,16,14,2023-24
1610612752,New York Knicks,13,7,6,0.538,629.0,517,1142,0.453,155,413,0.375,240,317,0.757,175,382,557,293,146.0,74,70,82,232,275,1429,-27.0,5,5,12,6,5,5,5,10,5,5,2,4,4,14,3,6,5,6,11,8,5,15,11,5,5,11,2023-24
1610612760,Oklahoma City Thunder,10,6,4,0.6,480.0,394,858,0.459,121,340,0.356,148,185,0.8,87,328,415,231,112.0,78,62,56,177,196,1057,63.0,8,7,2,2,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,6,6,10,9,8,8,3,2023-24
1610612753,Orlando Magic,7,3,4,0.429,336.0,247,588,0.42,72,233,0.309,136,176,0.773,84,231,315,135,101.0,56,36,42,151,152,702,31.0,9,9,2,8,9,9,9,15,10,9,14,9,9,11,9,9,9,10,8,9,10,7,8,9,9,5,2023-24
1610612755,Philadelphia 76ers,6,2,4,0.333,293.0,222,500,0.444,81,214,0.379,124,148,0.838,64,183,247,138,71.0,33,38,43,129,115,649,-1.0,10,10,2,10,10,11,11,12,9,10,1,10,10,2,11,12,12,9,5,12,9,9,6,12,11,7,2023-24
1610612756,Phoenix Suns,4,0,4,0.0,192.0,141,303,0.465,38,104,0.365,93,112,0.83,29,101,130,79,57.0,30,17,11,93,97,413,-60.0,15,15,2,15,15,15,16,7,15,16,5,13,13,3,15,16,16,15,2,14,15,1,4,13,15,13,2023-24
