PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
-2,-0.02100000000000002,-0.138,11,-2,-4.0,1,0
-14,-0.0050000000000000044,-0.07400000000000001,-10,-3,-28.0,0,0
16,0.061,0.21599999999999997,10,8,32.0,1,1
20,0.127,0.252,7,8,40.0,1,1
-8,-0.08100000000000002,-0.285,1,-1,-16.0,0,0
-35,-0.17100000000000004,-0.11299999999999999,-10,-12,-70.0,0,0
9,0.069,-0.07400000000000001,14,-2,18.0,0,1
12,0.07799999999999996,-0.007000000000000006,6,1,24.0,0,1
-23,-0.008999999999999952,-0.29800000000000004,-3,-12,-46.0,0,0
-2,-0.03600000000000003,0.008000000000000007,-6,3,-4.0,0,0
8,0.08500000000000002,0.044999999999999984,-10,7,16.0,0,1
-3,0.07700000000000001,-0.125,-13,3,-6.0,1,0
-13,-0.028000000000000025,-0.15400000000000003,7,-7,-26.0,1,0
28,0.05299999999999999,0.279,-8,9,56.0,1,1
7,0.03400000000000003,-0.01699999999999996,15,11,14.0,1,1
20,0.189,0.10500000000000004,9,9,40.0,1,1
9,-0.0030000000000000027,-0.131,-9,2,18.0,1,1
10,-0.017000000000000015,0.09500000000000003,-7,-5,20.0,1,1
-30,-0.11399999999999999,-0.125,-12,-19,-60.0,0,0
-27,-0.057999999999999996,-0.07699999999999996,6,0,-54.0,0,0
-33,-0.18899999999999995,-0.134,-4,8,-66.0,1,0
-1,-0.05199999999999999,0.03200000000000003,-6,-5,-2.0,1,0
5,-0.024999999999999967,0.127,-3,-10,10.0,1,1
30,0.189,0.15900000000000003,8,13,60.0,1,1
3,-0.01699999999999996,-0.014000000000000012,6,0,6.0,1,1
39,0.024999999999999967,0.08000000000000002,18,15,78.0,1,1
-14,-0.040000000000000036,0.03999999999999998,-26,-3,-28.0,0,0
-11,-0.03199999999999997,-0.009000000000000008,-1,4,-22.0,0,0
25,0.07,0.20600000000000002,-1,7,50.0,0,1
-6,0.01899999999999996,0.04199999999999998,10,-1,-12.0,1,0
-20,-0.064,0.15400000000000003,-21,1,-40.0,0,0
-13,-0.14600000000000002,-0.147,3,-10,-26.0,1,0
-8,-0.018000000000000016,-0.09599999999999997,-3,-3,-16.0,1,0
4,-0.008000000000000007,0.14399999999999996,7,6,8.0,0,1
-25,-0.20100000000000007,-0.11599999999999996,-16,-10,-50.0,0,0
-9,-0.08700000000000008,-0.032999999999999974,-13,-11,-18.0,0,0
-9,-0.06899999999999995,-0.05499999999999999,-14,-10,-18.0,1,0
-10,-0.01200000000000001,-0.10800000000000004,-3,-4,-20.0,0,0
10,0.06,-0.016000000000000014,17,14,20.0,1,1
-12,-0.063,-0.09000000000000002,0,-9,-24.0,1,0
19,0.07800000000000001,0.0,-1,1,38.0,1,1
-16,-0.020999999999999963,0.0040000000000000036,-16,-6,-32.0,0,0
-10,-0.03999999999999998,0.04600000000000004,-13,2,-20.0,1,0
-10,-0.05300000000000005,0.11899999999999997,8,-5,-20.0,0,0
13,-0.01200000000000001,0.019999999999999962,3,0,26.0,0,1
-13,-0.09999999999999998,-0.356,2,-3,-26.0,1,0
-16,0.0010000000000000009,-0.066,-4,-9,-32.0,0,0
-22,-0.08900000000000002,-0.09999999999999998,-7,0,-44.0,0,0
5,0.061,0.08100000000000002,1,-7,10.0,1,1
-2,0.007000000000000006,0.045999999999999985,11,-5,-4.0,1,0
-13,-0.08899999999999997,-0.22200000000000003,-13,-2,-26.0,0,0
13,0.13200000000000006,0.122,-5,7,26.0,1,1
-8,-0.07100000000000006,-0.0030000000000000027,-19,7,-16.0,0,0
-8,-0.07800000000000001,-0.02200000000000002,-7,0,-16.0,1,0
-2,0.06400000000000006,-0.14700000000000002,9,5,-4.0,1,0
8,0.03199999999999997,0.0,2,-4,16.0,0,1
-20,0.08500000000000008,-0.03999999999999998,-3,-9,-40.0,0,0
-12,-0.07500000000000001,-0.0040000000000000036,-23,3,-24.0,0,0
-5,-0.057999999999999996,-0.08599999999999997,-12,7,-10.0,1,0
8,-0.01699999999999996,0.132,16,-1,16.0,0,1
-4,0.014000000000000012,0.046999999999999986,-13,2,-8.0,1,0
-17,-0.127,-0.183,-7,-10,-34.0,0,0
-20,-0.08199999999999996,-0.091,-3,-5,-40.0,0,0
-9,0.016000000000000014,-0.015000000000000013,-14,9,-18.0,0,0
11,-0.03200000000000003,-0.08400000000000002,18,-3,22.0,0,1
29,0.08600000000000002,0.10399999999999998,16,6,58.0,1,1
9,0.03500000000000003,0.0030000000000000027,1,2,18.0,1,1
-9,-0.11499999999999994,-0.03600000000000003,-8,-8,-18.0,1,0
6,0.010000000000000009,0.03899999999999998,4,2,12.0,1,1
-3,0.10599999999999998,-0.11099999999999999,-7,2,-6.0,0,0
16,0.061000000000000054,0.07100000000000001,11,1,32.0,0,1
-10,-0.015000000000000013,-0.03699999999999998,-2,-3,-20.0,0,0
-10,-0.08000000000000002,0.08300000000000002,2,4,-20.0,0,0
6,0.03999999999999998,0.06400000000000003,3,-4,12.0,1,1
17,0.04199999999999998,0.09399999999999997,-2,-4,34.0,1,1
-40,-0.23600000000000004,-0.025000000000000022,-7,-14,-80.0,0,0
3,-0.02899999999999997,0.05499999999999999,9,-13,6.0,1,1
8,-0.01899999999999996,-0.08800000000000002,0,4,16.0,1,1
-17,-0.020000000000000018,-0.086,-6,-10,-34.0,0,0
-1,-0.029000000000000026,-0.011999999999999955,0,-6,-2.0,0,0
7,0.05399999999999999,-0.0050000000000000044,-1,11,14.0,0,1
19,0.03200000000000003,0.065,11,5,38.0,0,1
-20,-0.05499999999999999,-0.07100000000000001,-6,-4,-40.0,1,0
-5,0.034999999999999976,-0.007000000000000006,-7,4,-10.0,1,0
-14,-0.14999999999999997,-0.04999999999999999,-3,-13,-28.0,0,0
5,-0.06500000000000006,-0.059,5,-6,10.0,0,1
12,0.05299999999999999,0.08499999999999996,16,6,24.0,0,1
-6,-0.09000000000000002,-0.139,3,-8,-12.0,0,0
7,-0.05299999999999999,0.12700000000000003,-9,6,14.0,0,1
